REGIÃO ;PAÍS;CONSUMO DE PETRÓLEO em mil barris por dia;ANO
Europa e Eurásia;Espanha;1199,081143;2014
Europa e Eurásia;Estônia;29,186564;2014
Europa e Eurásia;Finlândia ;214,354449;2014
Europa e Eurásia;França;1612,862493;2014
Europa e Eurásia;Grécia ;301,806162;2014
Europa e Eurásia;Holanda;865,852206;2014
Europa e Eurásia;Hungria;158,810788;2014
Europa e Eurásia;Islândia;15,548603;2014
Europa e Eurásia;Irlanda;140,242769;2014
Europa e Eurásia;Itália;1203,685402;2014
Europa e Eurásia;Letônia;34,249937;2014
Europa e Eurásia;Lituânia;52,505726;2014
Europa e Eurásia;Luxemburgo;56,620843;2014
Europa e Eurásia;Macedônia;18,556229;2014
Europa e Eurásia;Noruega;217,242292;2014
Europa e Eurásia;Polônia;538,38239;2014
Europa e Eurásia;Portugal;241,249182;2014
Europa e Eurásia;Reino Unido;1536,25873;2014
Europa e Eurásia;República Tcheca;202,059631;2014
Europa e Eurásia;Romênia;186,911671;2014
Europa e Eurásia;Rússia;3297,778302;2014
Europa e Eurásia;Suécia;303,943182;2014
Europa e Eurásia;Suíça;224,150883;2014
Europa e Eurásia;Turcomenistão;143,277945;2014
Europa e Eurásia;Turquia;774,616959;2014
Europa e Eurásia;Ucrânia;220,605659;2014
Europa e Eurásia;Uzbequistão;56,63474;2014
Europa e Eurásia;Outros;372,936338;2014
Oriente Médio;Arábia Saudita;3764,052566;2014
Oriente Médio;Catar;293,530845;2014
Oriente Médio;Coveite;445,762432;2014
Oriente Médio;Emirados Árabes Unidos;879,912072;2014
Oriente Médio;Irã;1959,007972;2014
Oriente Médio;Iraque;681,286785;2014
Oriente Médio;Israel;213,629763;2014
Oriente Médio;Omã;184,682466;2014
Oriente Médio;Outros;630,749539;2014
África;África do Sul;554,588432;2014
África;África Central;261,619207;2014
África;África Ocidental;555,306741;2014
África;África Oriental;507,299901;2014
África;Argélia;400,605945;2014
África;Egito;806,399657;2014
África;Marrocos;271,850137;2014
África;Outros Norte da África;357,426956;2014
África;Outros Sul da África;55,198289;2014
Ásia-Pacífico;Austrália;1046,632026;2014
Ásia-Pacífico;Bangladesh;120,398106;2014
Ásia-Pacífico;China;11239,36257;2014
Ásia-Pacífico;Cingapura;1268,259118;2014
Ásia-Pacífico;Coreia do Sul;2462,966883;2014
Ásia-Pacífico;Hong Kong;335,891828;2014
Ásia-Pacífico;Filipinas;346,775342;2014
Ásia-Pacífico;Índia;3913,857811;2014
Ásia-Pacífico;Indonésia;1708,054378;2014
Ásia-Pacífico;Japão;4302,784953;2014
Ásia-Pacífico;Malásia;795,838174;2014
Ásia-Pacífico;Nova Zelândia;153,877189;2014
Ásia-Pacífico;Paquistão;457,947382;2014
Ásia-Pacífico;Sri Lanka;70,594596;2014
Ásia-Pacífico;Tailândia;1309,371661;2014
Ásia-Pacífico;Taiwan;1012,640499;2014
Ásia-Pacífico;Vietnã;409,092138;2014
Ásia-Pacífico;Outros;388,457778;2014
América do Norte;Canadá;2401,252845;2015
América do Norte;Estados Unidos;19530,90959;2015
América do Norte;México;1939,288594;2015
Américas Central e do Sul;Argentina;695,78451;2015
Américas Central e do Sul;Brasil;3139,578694;2015
Américas Central e do Sul;Chile;355,473135;2015
Américas Central e do Sul;Colômbia;332,194831;2015
Américas Central e do Sul;Equador;254,21317;2015
Américas Central e do Sul;Peru;246,83;2015
Américas Central e do Sul;Trinidad e Tobago;45,650348;2015
Américas Central e do Sul;Venezuela;637,021139;2015
Américas Central e do Sul;Outros;1294,284406;2015
Europa e Eurásia;Alemanha;2336,129452;2015
Europa e Eurásia;Áustria;256,272219;2015
Europa e Eurásia;Azerbaijão;99,53091;2015
Europa e Eurásia;Bélgica;684,24976;2015
Europa e Eurásia;Bielorrússia;139,429973;2015
Europa e Eurásia;Bulgária;98,097103;2015
Europa e Eurásia;Cazaquistão;295,006964;2015
Europa e Eurásia;Chipre;46,678548;2015
Europa e Eurásia;Croácia;68,4364;2015
Europa e Eurásia;Dinamarca;160,876868;2015
Europa e Eurásia;Eslováquia;76,639288;2015
Europa e Eurásia;Eslovênia;49,464258;2015
Europa e Eurásia;Espanha;1242,583128;2015
Europa e Eurásia;Estônia;29,12371;2015
Europa e Eurásia;Finlândia ;212,399108;2015
Europa e Eurásia;França;1612,224102;2015
Europa e Eurásia;Grécia ;312,751172;2015
Europa e Eurásia;Holanda;834,290556;2015
Europa e Eurásia;Hungria;168,126214;2015
Europa e Eurásia;Islândia;17,263205;2015
Europa e Eurásia;Irlanda;146,255521;2015
Europa e Eurásia;Itália;1256,726888;2015
Europa e Eurásia;Letônia;35,917123;2015
Europa e Eurásia;Lituânia;57,013351;2015
Europa e Eurásia;Luxemburgo;56,013803;2015
Europa e Eurásia;Macedônia;19,937805;2015
Europa e Eurásia;Noruega;223,409267;2015
Europa e Eurásia;Polônia;559,065897;2015
Europa e Eurásia;Portugal;246,200901;2015
Europa e Eurásia;Reino Unido;1577,537964;2015
Europa e Eurásia;República Tcheca;195,980354;2015
Europa e Eurásia;Romênia;190,573781;2015
Europa e Eurásia;Rússia;3145,632685;2015
Europa e Eurásia;Suécia;302,084028;2015
Europa e Eurásia;Suíça;227,498302;2015
Europa e Eurásia;Turcomenistão;144,60137;2015
Europa e Eurásia;Turquia;911,962329;2015
Europa e Eurásia;Ucrânia;194,275327;2015
Europa e Eurásia;Uzbequistão;52,692877;2015
Europa e Eurásia;Outros;385,483407;2015
Oriente Médio;Arábia Saudita;3886,449308;2015
Oriente Médio;Catar;316,764929;2015
Oriente Médio;Coveite;461,459065;2015
Oriente Médio;Emirados Árabes Unidos;957,057691;2015
Oriente Médio;Irã;1804,381837;2015
Oriente Médio;Iraque;683,192652;2015
Oriente Médio;Israel;226,279122;2015
Oriente Médio;Omã;184,042192;2015
Oriente Médio;Outros;579,157375;2015
África;África do Sul;578,387062;2015
África;África Central;253,551234;2015
África;África Ocidental;562,64699;2015
